table,row_hint,field,issue,generated_in_mode
customers,row#15,phone,missing phone number,initial
customers,row#19 (Amanda generated),email,null email,initial
customers,row#38,phone,missing phone number,initial
customers,row#62,phone,missing phone number,initial
customers,row#87 (Amanda generated),email,null email,initial
customers,row#97 (Curtis generated),email,null email,initial
customers,row#101,phone,missing phone number,initial
customers,row#109,phone,missing phone number,initial
customers,row#131,phone,missing phone number,initial
customers,row#140 (Danielle generated),email,null email,initial
customers,row#142,phone,missing phone number,initial
customers,row#186,phone,missing phone number,initial
customers,row#200,phone,missing phone number,initial
customers,row#220,phone,missing phone number,initial
customers,row#221,phone,missing phone number,initial
customers,row#225 (Shelia generated),email,null email,initial
customers,row#249,phone,missing phone number,initial
customers,row#259 (Jeremiah generated),email,null email,initial
customers,row#265,phone,missing phone number,initial
customers,row#267 (Kim generated),email,null email,initial
customers,row#270,phone,missing phone number,initial
customers,row#282 (Vincent generated),email,null email,initial
customers,row#309,phone,missing phone number,initial
customers,row#311 (Emily generated),email,null email,initial
customers,row#314,phone,missing phone number,initial
customers,row#348,phone,missing phone number,initial
customers,row#367,phone,missing phone number,initial
customers,row#375 (Kathleen generated),email,null email,initial
customers,row#381 (Stephen generated),email,null email,initial
customers,row#382,phone,missing phone number,initial
customers,row#392 (Christian generated),email,null email,initial
customers,row#394,phone,missing phone number,initial
customers,row#412,phone,missing phone number,initial
customers,row#417,phone,missing phone number,initial
customers,row#423 (Corey generated),email,null email,initial
customers,row#436 (Leslie generated),email,null email,initial
customers,row#442,phone,missing phone number,initial
customers,row#455,phone,missing phone number,initial
customers,row#467 (Juan generated),email,null email,initial
customers,row#475,phone,missing phone number,initial
customers,row#482,phone,missing phone number,initial
customers,row#483 (Michael generated),email,null email,initial
customers,row#489,phone,missing phone number,initial
customers,row#523,phone,missing phone number,initial
customers,row#530,phone,missing phone number,initial
customers,row#546,phone,missing phone number,initial
customers,row#558,phone,missing phone number,initial
customers,row#563,phone,missing phone number,initial
customers,row#570,phone,missing phone number,initial
customers,row#582,phone,missing phone number,initial
customers,row#586,phone,missing phone number,initial
customers,row#613,phone,missing phone number,initial
customers,row#618 (Patrick generated),email,null email,initial
customers,row#624,phone,missing phone number,initial
customers,row#630,phone,missing phone number,initial
customers,row#633,phone,missing phone number,initial
customers,row#661 (Steven generated),email,null email,initial
customers,row#684,phone,missing phone number,initial
customers,row#735 (Scott generated),email,null email,initial
customers,row#736,phone,missing phone number,initial
customers,row#742 (Michael generated),email,null email,initial
customers,row#745,phone,missing phone number,initial
customers,row#746,phone,missing phone number,initial
customers,row#757,phone,missing phone number,initial
customers,row#771,phone,missing phone number,initial
customers,row#773,phone,missing phone number,initial
customers,row#779,phone,missing phone number,initial
customers,row#784 (Stephen generated),email,null email,initial
customers,row#802 (Joseph generated),email,null email,initial
customers,row#804,phone,missing phone number,initial
customers,row#808 (Elizabeth generated),email,null email,initial
customers,row#835,phone,missing phone number,initial
customers,row#853 (Vickie generated),email,null email,initial
customers,row#873 (Sylvia generated),email,null email,initial
customers,row#878 (John generated),email,null email,initial
customers,row#878,phone,missing phone number,initial
customers,row#879,phone,missing phone number,initial
customers,row#889 (Jason generated),email,null email,initial
customers,row#889,phone,missing phone number,initial
customers,row#896 (Allison generated),email,null email,initial
customers,row#907,phone,missing phone number,initial
customers,row#916 (Tasha generated),email,null email,initial
customers,row#947 (Sara generated),email,null email,initial
customers,row#963,phone,missing phone number,initial
customers,row#975,phone,missing phone number,initial
customers,row#982 (Bryan generated),email,null email,initial
customers,row#983 (Cory generated),email,null email,initial
customers,row#985,phone,missing phone number,initial
customers,row#1000 (Christopher generated),email,null email,initial
customers,row#1000,phone,missing phone number,initial
customers,row#1022,phone,missing phone number,initial
customers,row#1049 (Timothy generated),email,null email,initial
customers,row#1051 (Lisa generated),email,null email,initial
customers,row#1080,phone,missing phone number,initial
customers,row#1104,phone,missing phone number,initial
customers,row#1108 (John generated),email,null email,initial
customers,row#1110,phone,missing phone number,initial
customers,row#1122 (Ashley generated),email,null email,initial
customers,row#1145 (David generated),email,null email,initial
customers,row#1160,phone,missing phone number,initial
customers,row#1170,phone,missing phone number,initial
customers,row#1175,phone,missing phone number,initial
customers,row#1178,phone,missing phone number,initial
customers,row#1183 (Donna generated),email,null email,initial
customers,row#1198,phone,missing phone number,initial
customers,row#1215,phone,missing phone number,initial
customers,row#1221,phone,missing phone number,initial
customers,row#1232,phone,missing phone number,initial
customers,row#1236,phone,missing phone number,initial
customers,row#1237 (Daniel generated),email,null email,initial
customers,row#1252,phone,missing phone number,initial
customers,row#1265,phone,missing phone number,initial
customers,row#1268 (Kim generated),email,null email,initial
customers,row#1290,phone,missing phone number,initial
customers,row#1300 (John generated),email,null email,initial
customers,row#1317,phone,missing phone number,initial
customers,row#1337 (Ebony generated),email,null email,initial
customers,row#1337,phone,missing phone number,initial
customers,row#1353,phone,missing phone number,initial
customers,row#1371,phone,missing phone number,initial
customers,row#1373,phone,missing phone number,initial
customers,row#1392 (Alyssa generated),email,null email,initial
customers,row#1436,phone,missing phone number,initial
customers,row#1437,phone,missing phone number,initial
customers,row#1445,phone,missing phone number,initial
customers,row#1452 (Megan generated),email,null email,initial
customers,row#1453,phone,missing phone number,initial
customers,row#1523,phone,missing phone number,initial
customers,row#1536,phone,missing phone number,initial
customers,row#1549,phone,missing phone number,initial
customers,row#1558,phone,missing phone number,initial
customers,row#1564,phone,missing phone number,initial
customers,row#1570,phone,missing phone number,initial
customers,row#1579 (Philip generated),email,null email,initial
customers,row#1587,phone,missing phone number,initial
customers,row#1603 (Alexander generated),email,null email,initial
customers,row#1611 (Chad generated),email,null email,initial
customers,row#1641,phone,missing phone number,initial
customers,row#1646,phone,missing phone number,initial
customers,row#1658 (Sean generated),email,null email,initial
customers,row#1677,phone,missing phone number,initial
customers,row#1686,phone,missing phone number,initial
customers,row#1689,phone,missing phone number,initial
customers,row#1694,phone,missing phone number,initial
customers,row#1699 (Nancy generated),email,null email,initial
customers,row#1725 (Tony generated),email,null email,initial
customers,row#1752,phone,missing phone number,initial
customers,row#1796,phone,missing phone number,initial
customers,row#1802,phone,missing phone number,initial
customers,row#1808,phone,missing phone number,initial
customers,row#1853,phone,missing phone number,initial
customers,row#1863,phone,missing phone number,initial
customers,row#1866,phone,missing phone number,initial
customers,row#1872,phone,missing phone number,initial
customers,row#1883 (Lisa generated),email,null email,initial
customers,row#1906,phone,missing phone number,initial
customers,row#1914 (Kelly generated),email,null email,initial
customers,row#1937,phone,missing phone number,initial
customers,row#1954 (Jennifer generated),email,null email,initial
customers,row#1966 (Keith generated),email,null email,initial
customers,row#1975,phone,missing phone number,initial
customers,row#1976,phone,missing phone number,initial
customers,row#1979 (Mary generated),email,null email,initial
customers,row#2006 (Audrey generated),email,null email,initial
customers,row#2017,phone,missing phone number,initial
customers,row#2019,phone,missing phone number,initial
customers,row#2027,phone,missing phone number,initial
customers,row#2037,phone,missing phone number,initial
customers,row#2066 (Laura generated),email,null email,initial
customers,row#2086,phone,missing phone number,initial
customers,row#2091 (Timothy generated),email,null email,initial
customers,row#2093 (Katherine generated),email,null email,initial
customers,row#2099,phone,missing phone number,initial
customers,row#2104 (Tyler generated),email,null email,initial
customers,row#2118,phone,missing phone number,initial
customers,row#2121 (Rhonda generated),email,null email,initial
customers,row#2134,phone,missing phone number,initial
customers,row#2135,phone,missing phone number,initial
customers,row#2143,phone,missing phone number,initial
customers,row#2151 (Priscilla generated),email,null email,initial
customers,row#2165,phone,missing phone number,initial
customers,row#2169 (Adrian generated),email,null email,initial
customers,row#2208,phone,missing phone number,initial
customers,row#2219,phone,missing phone number,initial
customers,row#2231,phone,missing phone number,initial
customers,row#2239 (Kiara generated),email,null email,initial
customers,row#2280 (Corey generated),email,null email,initial
customers,row#2287,phone,missing phone number,initial
customers,row#2291,phone,missing phone number,initial
customers,row#2293,phone,missing phone number,initial
customers,row#2294,phone,missing phone number,initial
customers,row#2297 (Joshua generated),email,null email,initial
customers,row#2299 (Tony generated),email,null email,initial
customers,row#2331,phone,missing phone number,initial
customers,row#2351,phone,missing phone number,initial
customers,row#2353 (Mark generated),email,null email,initial
customers,row#2364,phone,missing phone number,initial
customers,row#2365,phone,missing phone number,initial
customers,row#2369,phone,missing phone number,initial
customers,row#2381,phone,missing phone number,initial
customers,row#2398,phone,missing phone number,initial
customers,row#2405 (Bryan generated),email,null email,initial
customers,row#2419 (Sierra generated),email,null email,initial
customers,row#2435 (Sherri generated),email,null email,initial
customers,row#2439 (Wayne generated),email,null email,initial
customers,row#2445,phone,missing phone number,initial
customers,row#2463,phone,missing phone number,initial
customers,row#2505 (Stephanie generated),email,null email,initial
customers,row#2506,phone,missing phone number,initial
customers,row#2511 (Duane generated),email,null email,initial
customers,row#2519,phone,missing phone number,initial
customers,row#2522,phone,missing phone number,initial
customers,row#2526 (Lisa generated),email,null email,initial
customers,row#2531,phone,missing phone number,initial
customers,row#2532,phone,missing phone number,initial
customers,row#2552 (Lisa generated),email,null email,initial
customers,row#2572,phone,missing phone number,initial
customers,row#2574 (Melissa generated),email,null email,initial
customers,row#2583,phone,missing phone number,initial
customers,row#2595 (Gregory generated),email,null email,initial
customers,row#2608 (Garrett generated),email,null email,initial
customers,row#2610,phone,missing phone number,initial
customers,row#2622,phone,missing phone number,initial
customers,row#2623 (Luke generated),email,null email,initial
customers,row#2626,phone,missing phone number,initial
customers,row#2647,phone,missing phone number,initial
customers,row#2654,phone,missing phone number,initial
customers,row#2656 (Jillian generated),email,null email,initial
customers,row#2673 (Adam generated),email,null email,initial
customers,row#2675 (Steven generated),email,null email,initial
customers,row#2676,phone,missing phone number,initial
customers,row#2723 (Michelle generated),email,null email,initial
customers,row#2728 (Aaron generated),email,null email,initial
customers,row#2731 (Kimberly generated),email,null email,initial
customers,row#2736,phone,missing phone number,initial
customers,row#2738,phone,missing phone number,initial
customers,row#2750 (Martha generated),email,null email,initial
customers,row#2757,phone,missing phone number,initial
customers,row#2776 (Amber generated),email,null email,initial
customers,row#2779,phone,missing phone number,initial
customers,row#2788 (Mark generated),email,null email,initial
customers,row#2794 (Kenneth generated),email,null email,initial
customers,row#2804 (Diana generated),email,null email,initial
customers,row#2821,phone,missing phone number,initial
customers,row#2856 (Ricardo generated),email,null email,initial
customers,row#2865,phone,missing phone number,initial
customers,row#2867,phone,missing phone number,initial
customers,row#2900 (Jennifer generated),email,null email,initial
customers,row#2929,phone,missing phone number,initial
customers,row#2932 (Kevin generated),email,null email,initial
customers,row#2933,phone,missing phone number,initial
customers,row#2941 (Amanda generated),email,null email,initial
customers,row#2978,phone,missing phone number,initial
customers,row#2985,phone,missing phone number,initial
customers,row#2988,phone,missing phone number,initial
customers,row#3005,phone,missing phone number,initial
customers,row#3006 (Patrick generated),email,null email,initial
customers,row#3034 (Annette generated),email,null email,initial
customers,row#3045 (Bruce generated),email,null email,initial
customers,row#3069 (Brandon generated),email,null email,initial
customers,row#3069,phone,missing phone number,initial
customers,row#3079 (Taylor generated),email,null email,initial
customers,row#3079,phone,missing phone number,initial
customers,row#3087,phone,missing phone number,initial
customers,row#3088,phone,missing phone number,initial
customers,row#3147,phone,missing phone number,initial
customers,row#3159,phone,missing phone number,initial
customers,row#3177,phone,missing phone number,initial
customers,row#3182,phone,missing phone number,initial
customers,row#3193,phone,missing phone number,initial
customers,row#3195,phone,missing phone number,initial
customers,row#3206,phone,missing phone number,initial
customers,row#3214,phone,missing phone number,initial
customers,row#3218 (Kyle generated),email,null email,initial
customers,row#3221 (Michael generated),email,null email,initial
customers,row#3226,phone,missing phone number,initial
customers,row#3228,phone,missing phone number,initial
customers,row#3279,phone,missing phone number,initial
customers,row#3292 (Roberta generated),email,null email,initial
customers,row#3294 (Sandra generated),email,null email,initial
